time_serial,password,way1,way1_number,way2,way2_number,way3,way3_number,total_sales,time
19280,2 9 4,3225,1040,0,346,14746,173,"17,121,254",2019/10/21
19279,1 7 7,2902,1040,4807,346,0,173,"16,812,420",2019/10/20
19278,1 9 4,4785,1040,0,346,16092,173,"16,418,106",2019/10/19
19277,7 3 7,3993,1040,3797,346,0,173,"17,575,820",2019/10/18
19276,8 1 8,5141,1040,4987,346,0,173,"17,695,392",2019/10/17
19275,2 8 7,4369,1040,0,346,12236,173,"17,378,768",2019/10/16
19274,1 0 2,8107,1040,0,346,19339,173,"16,507,454",2019/10/15
19273,8 2 2,7684,1040,11215,346,0,173,"17,001,440",2019/10/14
19272,0 1 4,3487,1040,0,346,11393,173,"16,754,876",2019/10/13
19271,9 5 1,5737,1040,0,346,13568,173,"16,945,860",2019/10/12
19270,6 0 1,2905,1040,0,346,6157,173,"17,959,116",2019/10/11
19269,8 5 4,9651,1040,0,346,15924,173,"16,651,534",2019/10/10
19268,0 8 1,2309,1040,0,346,8589,173,"16,244,354",2019/10/9
19267,0 3 5,2865,1040,0,346,9700,173,"16,642,410",2019/10/8
19266,4 6 1,6942,1040,0,346,12035,173,"18,231,578",2019/9/30
19265,5 9 0,4372,1040,0,346,9220,173,"16,904,214",2019/9/29
19264,6 6 9,6146,1040,6079,346,0,173,"16,658,884",2019/9/28
19263,9 8 4,6292,1040,0,346,18220,173,"17,833,072",2019/9/27
19262,7 8 5,5580,1040,0,346,21405,173,"17,463,942",2019/9/26
19261,8 6 5,3771,1040,0,346,14600,173,"16,945,770",2019/9/25
19260,1 6 2,5129,1040,0,346,12948,173,"17,519,816",2019/9/24
19259,4 3 2,8687,1040,0,346,23572,173,"17,413,064",2019/9/23
19258,5 1 1,4424,1040,4570,346,0,173,"16,554,420",2019/9/22
19257,8 7 1,3108,1040,0,346,11537,173,"16,532,534",2019/9/21
19256,4 7 4,8148,1040,7749,346,0,173,"17,221,582",2019/9/20
19255,2 7 2,6246,1040,4695,346,0,173,"16,503,272",2019/9/19
19254,6 1 8,8138,1040,0,346,27157,173,"16,846,506",2019/9/18
19253,6 3 9,6394,1040,0,346,17307,173,"17,045,488",2019/9/17
19252,4 1 6,4582,1040,0,346,13627,173,"18,257,064",2019/9/16
19251,2 7 2,4477,1040,4743,346,0,173,"18,154,218",2019/9/15
19250,1 7 1,4169,1040,4135,346,0,173,"17,860,090",2019/9/14
19249,6 2 9,5102,1040,0,346,16043,173,"17,703,690",2019/9/13
19248,3 1 1,3540,1040,4182,346,0,173,"18,973,252",2019/9/12
19247,4 8 9,3820,1040,0,346,15434,173,"18,551,810",2019/9/11
19246,4 2 7,6687,1040,0,346,20658,173,"17,893,066",2019/9/10
19245,5 9 5,5022,1040,4028,346,0,173,"17,353,808",2019/9/9
19244,0 9 0,4858,1040,4856,346,0,173,"17,318,744",2019/9/8
19243,5 1 1,7450,1040,6898,346,0,173,"17,452,428",2019/9/7
19242,8 9 2,7080,1040,0,346,17324,173,"18,299,124",2019/9/6
19241,3 8 5,9751,1040,0,346,25858,173,"17,682,830",2019/9/5
19240,8 9 4,3618,1040,0,346,13970,173,"17,558,208",2019/9/4
19239,4 9 1,4534,1040,0,346,17903,173,"17,409,568",2019/9/3
19238,4 1 0,4832,1040,0,346,12582,173,"17,485,188",2019/9/2
19237,8 0 8,5035,1040,4970,346,0,173,"16,992,520",2019/9/1
19236,0 2 1,3882,1040,0,346,11615,173,"16,957,176",2019/8/31
19235,4 2 2,8806,1040,8997,346,0,173,"18,580,244",2019/8/30
19234,2 4 5,10510,1040,0,346,23129,173,"18,109,530",2019/8/29
19233,5 3 1,2792,1040,0,346,12194,173,"17,731,728",2019/8/28
19232,7 7 2,8861,1040,15876,346,0,173,"18,696,028",2019/8/27
19231,9 3 5,2580,1040,0,346,13875,173,"18,427,562",2019/8/26
19230,6 3 0,3889,1040,0,346,10727,173,"17,730,362",2019/8/25
19229,9 4 8,3232,1040,0,346,13258,173,"17,807,034",2019/8/24
19228,9 7 8,5110,1040,0,346,15688,173,"19,075,216",2019/8/23
19227,8 2 3,8907,1040,0,346,14951,173,"18,001,706",2019/8/22
19226,3 9 6,4000,1040,0,346,15847,173,"17,887,894",2019/8/21
19225,3 9 1,3903,1040,0,346,13649,173,"17,200,750",2019/8/20
19224,0 9 3,4716,1040,0,346,8306,173,"17,783,370",2019/8/19
19223,5 3 4,7395,1040,0,346,17651,173,"17,292,478",2019/8/18
19222,9 0 9,15364,1040,12878,346,0,173,"17,788,068",2019/8/17
19221,7 9 6,5665,1040,0,346,12073,173,"18,830,002",2019/8/16
19220,3 2 9,3912,1040,0,346,10737,173,"16,781,128",2019/8/15
19219,3 8 2,8000,1040,0,346,12750,173,"16,015,144",2019/8/14
19218,6 4 9,3479,1040,0,346,11789,173,"15,725,876",2019/8/13
19217,1 2 3,5358,1040,0,346,12107,173,"16,055,140",2019/8/12
19216,6 5 8,6261,1040,0,346,11673,173,"15,088,242",2019/8/11
19215,8 7 6,4753,1040,0,346,13963,173,"15,067,318",2019/8/10
19214,9 2 1,6668,1040,0,346,19274,173,"16,569,470",2019/8/9
19213,7 2 8,5538,1040,0,346,14510,173,"15,998,578",2019/8/8
19212,7 7 2,5076,1040,5477,346,0,173,"15,736,294",2019/8/7
19211,5 9 0,6393,1040,0,346,10965,173,"15,732,558",2019/8/6
19210,7 7 3,7715,1040,5791,346,0,173,"15,549,562",2019/8/5
19209,8 6 5,3614,1040,0,346,14745,173,"15,054,564",2019/8/4
19208,8 5 7,3624,1040,0,346,13911,173,"14,972,992",2019/8/3
19207,1 1 7,7922,1040,9126,346,0,173,"17,508,140",2019/8/2
19206,9 1 7,7306,1040,0,346,15030,173,"17,070,062",2019/8/1
19205,1 8 7,4912,1040,0,346,20020,173,"16,800,378",2019/7/31
19204,5 6 2,5238,1040,0,346,12702,173,"16,047,992",2019/7/30
19203,1 0 3,2962,1040,0,346,11071,173,"16,381,048",2019/7/29
19202,8 2 3,5623,1040,0,346,14429,173,"16,167,066",2019/7/28
19201,2 3 2,5717,1040,6162,346,0,173,"16,203,918",2019/7/27
19200,4 7 1,3397,1040,0,346,12824,173,"18,143,172",2019/7/26
19199,4 7 6,12121,1040,0,346,19744,173,"16,689,456",2019/7/25
19198,2 5 7,8427,1040,0,346,17211,173,"15,690,140",2019/7/24
19197,6 2 2,4254,1040,11077,346,0,173,"16,864,158",2019/7/23
19196,6 4 5,4699,1040,0,346,13864,173,"17,081,226",2019/7/22
19195,6 8 9,5530,1040,0,346,14150,173,"16,553,550",2019/7/21
19194,3 1 8,10432,1040,0,346,24704,173,"16,416,048",2019/7/20
19193,6 5 2,6639,1040,0,346,16056,173,"17,370,364",2019/7/19
19192,7 2 9,10741,1040,0,346,15617,173,"16,439,806",2019/7/18
19191,2 5 0,3792,1040,0,346,10389,173,"16,482,060",2019/7/17
19190,1 7 0,4243,1040,0,346,11663,173,"16,726,216",2019/7/16
19189,8 9 0,2334,1040,0,346,9591,173,"16,420,100",2019/7/15
19188,3 1 6,7993,1040,0,346,12832,173,"15,441,210",2019/7/14
19187,8 9 9,4321,1040,6424,346,0,173,"15,801,966",2019/7/13
19186,5 4 7,10392,1040,0,346,19486,173,"17,630,876",2019/7/12
19185,4 3 6,4354,1040,0,346,11921,173,"16,817,390",2019/7/11
19184,4 4 9,11811,1040,9986,346,0,173,"16,859,076",2019/7/10
19183,8 3 2,9931,1040,0,346,16445,173,"16,069,484",2019/7/9
19182,7 6 1,2529,1040,0,346,6313,173,"15,926,108",2019/7/8
19181,3 0 6,3147,1040,0,346,10838,173,"15,686,180",2019/7/7
19180,2 4 8,3139,1040,0,346,9532,173,"15,489,638",2019/7/6
19179,7 6 1,4914,1040,0,346,16903,173,"16,465,914",2019/7/5
19178,7 7 4,4482,1040,5722,346,0,173,"15,950,044",2019/7/4
19177,2 3 2,4173,1040,3551,346,0,173,"15,814,148",2019/7/3
19176,0 9 6,3728,1040,0,346,10039,173,"15,795,534",2019/7/2
19175,3 8 9,5886,1040,0,346,12713,173,"15,847,796",2019/7/1
19174,3 9 9,4264,1040,6566,346,0,173,"15,764,358",2019/6/30
19173,8 8 4,3852,1040,3494,346,0,173,"15,675,712",2019/6/29
19172,7 5 2,11050,1040,0,346,37183,173,"16,315,634",2019/6/28
19171,4 4 3,3709,1040,6466,346,0,173,"16,290,858",2019/6/27
19170,3 6 4,6530,1040,0,346,14768,173,"15,890,968",2019/6/26
19169,0 4 1,7000,1040,0,346,8880,173,"15,299,906",2019/6/25
19168,7 0 3,2045,1040,0,346,4524,173,"15,658,926",2019/6/24
19167,3 0 7,3619,1040,0,346,9557,173,"14,861,310",2019/6/23
19166,8 6 5,9509,1040,0,346,21619,173,"14,668,100",2019/6/22
19165,1 1 2,3666,1040,3614,346,0,173,"15,674,948",2019/6/21
19164,7 9 7,4880,1040,5244,346,0,173,"15,844,982",2019/6/20
19163,4 9 3,3178,1040,0,346,8676,173,"15,798,716",2019/6/19
19162,6 1 0,3143,1040,0,346,6269,173,"15,269,586",2019/6/18
19161,9 9 7,19444,1040,10118,346,0,173,"16,056,826",2019/6/17
19160,4 6 5,9670,1040,0,346,11399,173,"15,365,656",2019/6/16
19159,1 9 6,4680,1040,0,346,10970,173,"15,228,196",2019/6/15
19158,7 2 1,4446,1040,0,346,10893,173,"16,422,492",2019/6/14
19157,3 1 2,5748,1040,0,346,10258,173,"16,081,486",2019/6/13
19156,6 5 9,12027,1040,0,346,20820,173,"15,919,648",2019/6/12
19155,0 8 1,5714,1040,0,346,9907,173,"15,939,642",2019/6/11
19154,3 7 8,6258,1040,0,346,13787,173,"15,175,026",2019/6/10
19153,0 6 0,2494,1040,2229,346,0,173,"15,093,714",2019/6/9
19152,2 8 5,7206,1040,0,346,26472,173,"15,174,622",2019/6/8
19151,5 7 5,4450,1040,6301,346,0,173,"14,797,412",2019/6/7
19150,9 6 6,5344,1040,5346,346,0,173,"15,728,114",2019/6/6
19149,8 8 0,2779,1040,3355,346,0,173,"15,610,658",2019/6/5
19148,1 9 1,9151,1040,4721,346,0,173,"15,841,764",2019/6/4
19147,5 3 4,5557,1040,0,346,11286,173,"15,795,300",2019/6/3
19146,3 7 4,6982,1040,0,346,14079,173,"14,746,204",2019/6/2
19145,0 8 8,2259,1040,3620,346,0,173,"15,234,606",2019/6/1
19144,4 8 9,6112,1040,0,346,11623,173,"16,523,608",2019/5/31
19143,5 8 1,6567,1040,0,346,15272,173,"15,929,812",2019/5/30
19142,0 8 3,4042,1040,0,346,14338,173,"15,266,660",2019/5/29
19141,0 0 4,1865,1040,2338,346,0,173,"16,435,858",2019/5/28
19140,1 5 4,6583,1040,0,346,16234,173,"15,457,044",2019/5/27
19139,4 0 6,2545,1040,0,346,6823,173,"14,650,686",2019/5/26
19138,0 0 7,2661,1040,4119,346,0,173,"15,031,382",2019/5/25
19137,7 7 6,9864,1040,11833,346,0,173,"16,458,262",2019/5/24
19136,9 3 9,7315,1040,13470,346,0,173,"17,513,348",2019/5/23
19135,0 9 4,2565,1040,0,346,7819,173,"17,491,126",2019/5/22
19134,4 1 9,9331,1040,0,346,10633,173,"17,655,990",2019/5/21
19133,1 9 7,2958,1040,0,346,8394,173,"17,708,648",2019/5/20
19132,5 9 3,4956,1040,0,346,15766,173,"16,841,170",2019/5/19
19131,6 2 7,8863,1040,0,346,17438,173,"17,372,132",2019/5/18
19130,7 2 5,10585,1040,0,346,15994,173,"17,882,650",2019/5/17
19129,5 4 0,4398,1040,0,346,8522,173,"17,111,276",2019/5/16
19128,0 6 4,3746,1040,0,346,6656,173,"17,143,452",2019/5/15
19127,2 8 0,2791,1040,0,346,11357,173,"17,255,976",2019/5/14
19126,1 8 9,5965,1040,0,346,18689,173,"17,527,508",2019/5/13
19125,4 8 5,3364,1040,0,346,14573,173,"16,086,640",2019/5/12
19124,2 7 0,3557,1040,0,346,10004,173,"16,515,422",2019/5/11
19123,4 7 1,4943,1040,0,346,18145,173,"17,133,780",2019/5/10
19122,6 9 2,5953,1040,0,346,14779,173,"16,745,856",2019/5/9
19121,8 8 2,2700,1040,5160,346,0,173,"16,038,804",2019/5/8
19120,9 1 1,4111,1040,5979,346,0,173,"16,372,474",2019/5/7
19119,2 1 1,4903,1040,5391,346,0,173,"17,149,390",2019/5/6
19118,6 2 0,7301,1040,0,346,8207,173,"17,138,878",2019/5/5
19117,3 5 8,8814,1040,0,346,21456,173,"16,287,474",2019/5/4
19116,8 2 4,6590,1040,0,346,9498,173,"16,303,316",2019/5/3
19115,0 0 8,3151,1040,3372,346,0,173,"15,595,444",2019/5/2
19114,9 4 9,2945,1040,3794,346,0,173,"15,798,798",2019/5/1
19113,4 7 2,7667,1040,0,346,19748,173,"16,473,808",2019/4/30
19112,5 4 5,8656,1040,7810,346,0,173,"16,804,802",2019/4/29
19111,4 8 6,3120,1040,0,346,11770,173,"16,338,534",2019/4/28
19110,3 0 3,4124,1040,7268,346,0,173,"17,059,126",2019/4/27
19109,9 8 3,5325,1040,0,346,14359,173,"18,104,360",2019/4/26
19108,3 0 9,3620,1040,0,346,12464,173,"17,605,162",2019/4/25
19107,2 1 4,3165,1040,0,346,8853,173,"17,621,866",2019/4/24
19106,3 8 4,7486,1040,0,346,14709,173,"17,309,836",2019/4/23
19105,4 5 8,4461,1040,0,346,16059,173,"17,482,698",2019/4/22
19104,4 6 1,3242,1040,0,346,13476,173,"16,568,052",2019/4/21
19103,3 4 5,11251,1040,0,346,12716,173,"16,618,386",2019/4/20
19102,0 5 6,4171,1040,0,346,9833,173,"18,323,224",2019/4/19
19101,5 6 1,4885,1040,0,346,12831,173,"16,822,998",2019/4/18
19100,3 8 8,8991,1040,7211,346,0,173,"16,075,832",2019/4/17
19099,4 6 1,7171,1040,0,346,15218,173,"16,150,894",2019/4/16
19098,5 4 9,5837,1040,0,346,9445,173,"15,930,882",2019/4/15
19097,0 7 1,3362,1040,0,346,9985,173,"15,382,634",2019/4/14
19096,9 1 2,4776,1040,0,346,9102,173,"15,215,690",2019/4/13
19095,1 1 4,3571,1040,4296,346,0,173,"16,655,064",2019/4/12
19094,0 8 8,5359,1040,7580,346,0,173,"15,478,140",2019/4/11
19093,5 2 5,5725,1040,9419,346,0,173,"16,292,644",2019/4/10
19092,5 1 2,5377,1040,0,346,10442,173,"15,539,894",2019/4/9
19091,0 3 5,2474,1040,0,346,7428,173,"15,738,958",2019/4/8
19090,7 8 5,3517,1040,0,346,10860,173,"15,188,942",2019/4/7
19089,3 8 2,2341,1040,0,346,9176,173,"15,261,436",2019/4/6
19088,3 8 1,5350,1040,0,346,14250,173,"15,460,946",2019/4/5
19087,0 5 8,7370,1040,0,346,9755,173,"15,884,516",2019/4/4
19086,3 4 9,6566,1040,0,346,14746,173,"15,727,812",2019/4/3
19085,6 1 2,3809,1040,0,346,10947,173,"15,915,744",2019/4/2
19084,3 0 2,5474,1040,0,346,9041,173,"15,738,364",2019/4/1
